LocalDate,LocalTime,TotalCarriagewayFlow
2016-06-11,22:14:00,169
2016-06-13,22:29:00,288
2016-06-27,08:29:00,528
2016-06-09,17:14:00,719
2016-06-22,00:14:00,130
2016-06-13,17:29:00,702
2016-06-27,01:44:00,104
2016-06-15,07:29:00,612
2016-06-15,21:29:00,275
2016-06-28,16:14:00,724
2016-06-09,18:44:00,472
2016-06-25,15:59:00,405
2016-07-03,11:14:00,397
2016-06-16,13:44:00,466
2016-06-26,04:44:00,156
2016-06-20,22:14:00,367
2016-06-09,09:14:00,555
2016-06-30,15:59:00,597
2016-06-28,03:29:00,88
2016-06-30,21:14:00,332
2016-06-13,00:44:00,144
2016-06-29,07:59:00,517
2016-06-15,18:44:00,542
2016-06-30,17:14:00,755
2016-06-15,17:59:00,710
2016-06-30,08:29:00,475
2016-06-29,08:14:00,582
2016-06-21,18:59:00,431
2016-06-03,15:29:00,593
2016-06-08,10:29:00,365
2016-06-17,20:59:00,295
2016-06-20,14:44:00,431
2016-06-24,00:14:00,295
2016-06-27,12:44:00,401
2016-06-20,23:14:00,188
2016-06-03,14:14:00,442
2016-06-25,08:44:00,442
2016-06-04,20:59:00,228
2016-06-18,05:44:00,251
2016-07-02,02:59:00,76
2016-06-23,14:59:00,489
2016-06-26,17:29:00,426
2016-06-04,23:14:00,193
2016-06-04,08:14:00,321
2016-06-09,23:14:00,199
2016-06-09,13:59:00,418
2016-07-01,10:14:00,394
2016-07-02,09:14:00,451
2016-06-01,00:29:00,131
2016-06-06,01:44:00,75
2016-06-13,19:59:00,365
2016-06-18,18:14:00,462
2016-06-17,04:29:00,127
2016-06-19,22:14:00,249
2016-07-03,01:29:00,151
2016-06-25,08:59:00,435
2016-06-18,04:29:00,132
2016-06-21,18:29:00,534
2016-06-20,06:44:00,451
2016-06-18,04:14:00,108
2016-06-12,18:14:00,445
2016-06-03,08:59:00,443
2016-07-02,12:14:00,417
2016-06-19,08:44:00,368
2016-06-19,16:14:00,436
2016-06-30,02:29:00,84
2016-06-09,14:44:00,474
2016-07-02,13:59:00,425
2016-06-04,17:44:00,408
2016-06-03,04:29:00,119
2016-06-01,00:59:00,101
2016-06-15,16:59:00,696
2016-06-11,07:44:00,333
2016-06-25,03:29:00,61
2016-06-21,02:29:00,97
2016-06-02,04:29:00,95
2016-06-25,15:14:00,450
2016-06-06,16:44:00,654
2016-06-17,06:29:00,585
2016-06-27,22:29:00,217
2016-06-02,21:14:00,324
2016-06-26,11:44:00,426
2016-06-21,09:44:00,417
2016-06-06,21:29:00,269
2016-06-13,23:29:00,212
2016-06-26,18:29:00,412
2016-06-05,13:29:00,463
2016-06-26,10:44:00,345
2016-06-12,03:59:00,78
2016-06-13,12:14:00,403
2016-07-02,15:44:00,458
2016-07-01,14:44:00,501
2016-07-01,12:59:00,441
2016-06-15,00:14:00,145
2016-06-04,07:29:00,335
2016-06-12,02:59:00,101
2016-06-12,14:59:00,440
2016-06-30,00:14:00,182
2016-07-02,12:59:00,439
2016-06-25,11:59:00,439
2016-06-28,06:14:00,551
2016-06-24,20:44:00,407
2016-06-13,23:14:00,182
2016-06-22,21:59:00,288
2016-06-26,06:59:00,253
2016-06-08,14:14:00,524
2016-06-04,13:14:00,438
2016-06-27,13:59:00,469
2016-06-02,18:44:00,443
2016-06-03,23:44:00,148
2016-06-22,12:59:00,418
2016-06-08,06:44:00,466
2016-06-14,19:44:00,391
2016-06-16,12:59:00,423
2016-06-09,01:44:00,117
2016-07-02,10:14:00,430
2016-06-21,23:44:00,222
2016-06-23,03:44:00,70
2016-06-12,03:29:00,66
2016-06-07,11:44:00,341
2016-06-19,00:14:00,211
2016-06-15,11:59:00,344
2016-06-23,21:44:00,290
2016-06-15,13:44:00,461
2016-06-10,20:59:00,358
2016-06-02,05:59:00,478
2016-06-02,23:44:00,225
2016-06-09,02:59:00,50
2016-06-13,15:59:00,500
2016-06-30,16:14:00,623
2016-06-20,10:44:00,407
2016-06-18,09:59:00,403
2016-06-11,18:14:00,337
2016-07-01,04:44:00,141
2016-06-14,00:29:00,172
2016-06-23,01:29:00,69
2016-06-15,10:29:00,349
2016-07-03,18:59:00,413
2016-06-25,19:14:00,342
2016-06-28,14:59:00,418
2016-07-03,12:59:00,495
2016-06-26,05:29:00,186
2016-06-17,09:29:00,412
2016-06-04,03:29:00,74
2016-06-28,03:44:00,96
2016-06-09,05:14:00,214
2016-06-17,21:14:00,284
2016-06-12,23:14:00,203
2016-06-15,06:29:00,590
2016-06-13,02:44:00,128
2016-06-07,06:44:00,548
2016-06-23,02:29:00,82
2016-06-24,17:44:00,593
2016-06-17,10:14:00,393
2016-06-03,17:44:00,592
2016-06-05,14:59:00,463
2016-06-10,07:59:00,562
2016-06-29,02:44:00,130
2016-06-06,11:59:00,349
2016-06-15,08:14:00,559
2016-06-29,17:14:00,772
2016-06-03,14:29:00,471
2016-06-07,00:59:00,93
2016-06-16,20:59:00,254
2016-06-13,03:44:00,85
2016-07-03,00:59:00,245
2016-06-18,17:59:00,427
2016-06-20,07:59:00,331
2016-06-25,01:59:00,107
2016-06-08,23:44:00,119
2016-06-29,18:44:00,531
2016-06-19,17:44:00,439
2016-06-07,22:59:00,140
2016-06-28,09:29:00,530
2016-06-02,09:44:00,431
2016-06-21,21:44:00,237
2016-07-01,15:59:00,551
2016-06-12,09:14:00,362
2016-06-16,04:44:00,136
2016-06-05,13:14:00,471
2016-07-02,00:14:00,187
2016-06-11,23:14:00,152
2016-06-25,02:29:00,97
2016-06-21,00:14:00,147
2016-06-14,06:14:00,622
2016-07-03,18:29:00,431
2016-06-17,23:44:00,236
2016-06-26,06:14:00,210
2016-06-03,17:59:00,586
2016-06-21,15:59:00,532
2016-06-23,12:14:00,392
2016-06-18,09:44:00,434
2016-06-24,23:59:00,218
2016-06-11,17:59:00,361
2016-06-29,10:14:00,403
2016-06-02,03:14:00,70
2016-06-19,06:59:00,239
2016-06-12,14:29:00,438
2016-06-02,02:14:00,58
2016-06-22,16:29:00,608
2016-06-06,12:29:00,410
2016-06-28,19:44:00,378
2016-06-24,14:44:00,511
2016-06-02,16:29:00,546
2016-06-29,17:59:00,795
2016-06-02,04:59:00,161
2016-06-30,01:29:00,97
2016-06-02,14:14:00,510
2016-06-18,00:14:00,141
2016-06-03,06:29:00,495
2016-06-24,01:59:00,133
2016-06-24,03:14:00,95
2016-06-23,01:59:00,78
2016-06-18,23:14:00,130
2016-06-20,09:59:00,397
2016-06-20,12:44:00,392
2016-06-04,14:44:00,469
2016-06-23,13:44:00,394
2016-06-14,13:29:00,424
2016-06-21,07:29:00,637
2016-06-20,13:14:00,385
2016-06-26,01:59:00,92
2016-06-10,19:14:00,408
2016-06-02,02:29:00,36
2016-06-16,15:59:00,446
2016-06-06,07:59:00,519
2016-06-30,00:59:00,125
2016-06-20,19:59:00,316
2016-07-01,06:14:00,556
2016-06-26,02:14:00,127
2016-06-02,02:59:00,72
2016-06-10,11:29:00,390
2016-06-19,05:29:00,168
2016-06-13,08:59:00,495
2016-06-18,19:29:00,351
2016-06-15,14:59:00,417
2016-06-29,01:14:00,95
2016-06-23,19:59:00,375
2016-06-19,14:59:00,463
2016-06-14,05:14:00,234
2016-06-07,11:59:00,359
2016-06-29,05:14:00,217
2016-06-14,13:59:00,412
2016-06-05,06:14:00,177
2016-06-25,14:14:00,473
2016-06-23,19:44:00,374
2016-06-26,12:14:00,446
2016-06-16,08:44:00,531
2016-06-14,16:29:00,592
2016-06-20,01:44:00,107
2016-06-29,22:14:00,245
2016-07-02,00:29:00,240
2016-06-25,13:29:00,488
2016-07-02,19:59:00,297
2016-06-24,08:44:00,519
2016-06-05,02:14:00,115
2016-06-21,17:29:00,746
2016-06-14,02:59:00,81
2016-06-27,06:59:00,475
2016-06-04,08:29:00,393
2016-06-18,22:29:00,195
2016-06-22,10:59:00,359
2016-06-28,15:44:00,525
2016-06-15,06:44:00,587
2016-06-21,12:59:00,392
2016-07-03,08:44:00,325
2016-06-05,19:59:00,399
2016-07-02,04:29:00,124
2016-07-01,16:14:00,682
2016-06-08,13:29:00,447
2016-06-06,00:29:00,205
2016-06-11,10:59:00,390
2016-06-05,15:29:00,414
2016-06-05,11:29:00,386
2016-06-13,03:29:00,66
2016-06-09,03:14:00,50
2016-06-15,01:14:00,130
2016-06-23,21:14:00,345
2016-06-30,05:14:00,264
2016-07-03,06:44:00,308
2016-06-12,21:29:00,284
2016-06-29,19:29:00,506
2016-07-02,05:44:00,243
2016-06-17,06:44:00,524
2016-06-23,18:29:00,527
2016-07-01,12:44:00,469
2016-06-11,09:14:00,429
2016-06-15,15:14:00,512
2016-06-04,16:59:00,406
2016-06-22,12:44:00,412
2016-06-13,04:14:00,124
2016-06-09,09:44:00,457
2016-06-19,10:29:00,404
2016-06-08,07:59:00,527
2016-06-12,22:44:00,228
2016-06-26,20:44:00,358
2016-06-08,00:59:00,122
2016-06-08,08:59:00,463
2016-07-03,04:14:00,105
2016-06-23,07:14:00,492
2016-06-29,23:44:00,157
2016-06-22,10:29:00,309
2016-06-23,23:29:00,220
2016-06-20,04:29:00,137
2016-07-01,16:44:00,616
2016-07-03,20:14:00,409
2016-06-07,08:59:00,470
2016-06-20,09:29:00,409
2016-06-20,03:29:00,101
2016-06-24,00:29:00,203
2016-06-09,20:14:00,375
2016-06-20,12:29:00,398
2016-06-03,05:29:00,270
2016-06-13,08:29:00,523
2016-06-16,09:14:00,530
2016-06-12,10:44:00,367
2016-07-03,03:44:00,87
2016-06-13,21:44:00,272
2016-07-01,11:44:00,382
2016-06-05,17:44:00,400
2016-06-22,23:44:00,226
2016-06-21,12:44:00,459
2016-06-09,10:29:00,344
2016-07-01,10:44:00,396
